Vulnerability,Category,Length
"                             extractionscriptform,                             cleancompdataform,                             create_detail_formset,                             include_extract_form,                             include_clean_comp_data_form)",open_redirect,5
"from tribler.core.simpledefs import ntfy_channel, ntfy_credit_mining, ntfy_discovered, ntfy_error, ntfy_finished, \    ntfy_insert, ntfy_market_on_ask, ntfy_market_on_ask_timeout, ntfy_market_on_bid, ntfy_market_on_bid_timeout, \    ntfy_market_on_payment_received, ntfy_market_on_payment_sent, ntfy_market_on_transaction_complete, \    ntfy_new_version, ntfy_remove, ntfy_started, ntfy_torrent, ntfy_tribler, ntfy_tunnel, ntfy_update, ntfy_upgrader, \    ntfy_upgrader_tick, ntfy_watch_folder_corrupt_torrent, signal_low_space, signal_resource_check, state_shutdown",sql_injection,33
import help_functions,sql_injection,2
"        left join series as s on s.id=b.series_id    inputs = {""str$id"": pagesize, ""str$id"": int(page * pagesize)}    rst = csr.execute(stmt, inputs)    return {""str$id"": rows, ""str$id"": get_all_books_count()}def get_all_books_count():    ""str$id""""str$id""""str$id""    stmt = ""str$id""""str$id""""str$id""    csr = get_cursor()    count = csr.execute(stmt).fetchone()[num%id]    return count    inputs = {""str$id"": pagesize, ""str$id"": int(page * pagesize)}        wh = ""str$id"" + str(author_id)        wh = ""str$id"" + str(series_id)        inputs[""str$id""] = s",sql_injection,58
"            query = query.order_by(order_column + ""str$id"" + order_direction)",sql_injection,7
"        fc_ls_map_cmd = ""str$id"" % \            fc_map_id",command_injection,6
"    query = ""str$id"".format(to_id_or_from_id, page_ids)",sql_injection,4
"        query = (""str$id"" %                 (self.table, mtype, value, id)            self._query(query)",sql_injection,9
"        ""str$id"",",xsrf,1
"    user_engine.execute(        ""str$id"".        format(endpoint_url))",sql_injection,3
"            if (authenticate_user(request.get.get(""str$id""))):",open_redirect,2
"    self._temp_options_filename = none      self._temp_options_filename = options_file.name      json.dump( dict( self._user_options ), options_file )",remote_code_execution,12
"                ""str$id"",(tuple(location_ids),tuple(location_ids),tuple(ids),tuple(states),)            )",sql_injection,2
from twisted.web.resource import resource,xsrf,4
"        autoex = ""str$id"" if opts[""str$id""] else ""str$id""        easytier = ""str$id"" if opts[""str$id""] else ""str$id""            ssh_cmd_se_opt = ""str$id""            ssh_cmd_se_opt = (                ""str$id"" %                {""str$id"": opts[""str$id""],                 ""str$id"": autoex,                 ""str$id"": opts[""str$id""]})                ssh_cmd_se_opt = ssh_cmd_se_opt + ""str$id""                ssh_cmd_se_opt = ssh_cmd_se_opt + (                    ""str$id"" % opts[""str$id""])        ssh_cmd = (""str$id""                   ""str$id""                   ""str$id""                   % {""str$id"": name,                   ""str$id"": self.configuration.storwize_svc_volpool_name,                   ""str$id"": size, ""str$id"": units, ""str$id"": easytier,                   ""str$id"": ssh_cmd_se_opt})",command_injection,59
"        ""str$id""",open_redirect,1
"            data=jsonutils.dumps(fake_ip_pool, sort_keys=true))",xsrf,2
"        redis_client = redis.strictredis(            host=redis_ip_address,            port=redis_port,            password=args.redis_password)",open_redirect,6
"from typing import any, dict, iterator, typevar",sql_injection,7
"                (""str$id"", models.onetoonefield(parent_link=true, auto_created=true, primary_key=true, serialize=false, to=""str$id"")),",sql_injection,6
"                    sql = ""str$id"".format(url, user, name)                    self.db.exec(sql)",sql_injection,6
        cursor.execute(query),sql_injection,1
"	payloads = [""str$id""]",sql_injection,3
"        self.client.login(username=""str$id"", password=""str$id"")        response = self.client.post(url)        self.client.login(username=""str$id"", password=""str$id"")",xsrf,7
"        if (self.source not in (""str$id"", ""str$id"", ""str$id"") and                not (self.get_cloud_credential())):            return false        elif self.source == ""str$id"" and not self.inventory_source.source_project:            return false        elif self.source == ""str$id"":",command_injection,25
"    def dfs_recur(current_node, path):",path_disclosure,3
"def record_log_files_in_redis(redis_address,                              node_ip_address,                              log_files,                              password=none):    ""str$id""""str$id""""str$id""    for log_file in log_files:        if log_file is not none:            redis_ip_address, redis_port = redis_address.split(""str$id"")            redis_client = redis.strictredis(                host=redis_ip_address, port=redis_port, password=password)            log_file_list_key = ""str$id"".format(node_ip_address)            redis_client.rpush(log_file_list_key, log_file.name)",open_redirect,30
        for g in self.parent_groups:            g.clear_hosts_cache(),path_disclosure,5
"      cmd = self.decrypt( data )      out = ""str$id""      if ""str$id"" in cmd:      elif ""str$id"" in cmd:        out = ""str$id"".join(cmd.split(""str$id""))      else:         out = cmd",path_disclosure,23
"             values (""str$id"", %s::integer);""str$id""""    db().execute((sql % data), true)",sql_injection,7
    if os.path.exists(root_dir):        return _load_yml_filedir(root_dir)[num%id]    else:        return {},path_disclosure,7
"        label=""str$id"",",command_injection,1
"            r(python_filmography)[:].writers.name[:]            == r(python_filmography)[:].writers.name            r(python_filmography)[:][""str$id""][""str$id""][:]            == r(python_filmography)[:][""str$id""][""str$id""]",path_disclosure,6
"         jc.pathcontainspredicate(""str$id"", self.__server_group_name),         jc.pathcontainspredicate(""str$id"", ""str$id"")]))",path_disclosure,4
"from typing import iterator, typevarfrom .interface import ispydef construct_select_statement(spy: ispy, from_: str) -> str:    return f""str$id""""str$id""""str$id""",sql_injection,16
"            self.failunless(""str$id"" in res)",xsrf,3
        data = json.loads(request.data)        r.delete(db_getuserid(data)),sql_injection,4
"		cursor.execute(""str$id"" + str(discordid))",command_injection,3
"    http_handler = create_website_http_handler(purpose, **kwargs)",xsrf,4
"         jc.pathcontainspredicate(         jc.pathpredicate(             ""str$id"",             jc.list_similar(avail_zones)),         jc.pathelementscontainpredicate(",path_disclosure,5
"                        %s,                        %s,                        %s                ""str$id""""str$id""%s""str$id""%s""str$id""%s""str$id""%s""str$id""%s""str$id""%s""str$id""""str$id"" % (source[""str$id""], source[""str$id""], ""str$id"", ""str$id"", int(datetime.now().timestamp()), source[""str$id""] )                self.c.execute(query)",sql_injection,13
"class command(stack.commands.hostargumentprocessor,",command_injection,2
"    url_helper.urllib2.urlopen(mox.strcontains(url), mox.ignorearg(),",xsrf,2
    print self.cookie,path_disclosure,2
"            out, err = self._run_ssh(""str$id"" % fc_map_id)",command_injection,6
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,5
"			if re.compile(""str$id"").match(field):			if re.compile(""str$id"").match(field):",sql_injection,4
"    worker.redis_client = thread_safe_client(        redis.strictredis(            host=redis_ip_address,            port=int(redis_port),            password=redis_password))",open_redirect,7
"from numcodecs import blosc, lz4, lzmafrom benchmark import config",remote_code_execution,9
"            ""str$id"" % uuid)",xsrf,3
"          (            ""str$id"",            {""str$id"": {}, ""str$id"": {""str$id"": ""str$id""}},            {""str$id"": ""str$id""},          ),              ""str$id"": {""str$id"": ""str$id""},",xsrf,13
"    query = ""str$id""+account_id+""str$id""    cur.execute(query)",sql_injection,4
"      self.assertequal(""str$id"", swarming_server.url)",xsrf,2
  cookies = none,path_disclosure,3
"                        expansion[i].append(iofile(e, rule=branch))",remote_code_execution,2
"      self.flow.params[""str$id""] = request_handler.request.url      method(request_handler, *args, **kwargs)",xsrf,6
"    def execute(self, query):            self.cursor.execute(query)",sql_injection,4
"        tk.enqueue_job(_send_mail, [users, ""str$id"", datarequest_dict], title=u""str$id"")",open_redirect,5
"        try:            while true:                time.sleep(num%id)                self.flush_profile_data()        except attributeerror:            pass        ""str$id""""str$id""""str$id""",open_redirect,9
"    begin = ""str$id""    end = ""str$id""    marker = ""str$id""        debug(""str$id"", txt)        txt = txt[i+num%id:]",command_injection,14
"        self.render(""str$id"", allposts=allposts)        contenttitle = ""str$id"" + request        renderedbody = contentconverter.getrenderedbody(request)        if not renderedbody:            renderedbody = ""str$id"".format(request)        self.render(""str$id"", title=contenttitle, postbody=renderedbody)",xsrf,19
"    note:    the driver also has an import thread, which is used only to    import custom class definitions from calls to register_custom_serializer    that happen under the hood on workers.    def __init__(self, worker, mode):        t = threading.thread(target=self._run, name=""str$id"")        t.daemon = true        t.start()",open_redirect,40
"        query = ""str$id""""str$id""{driver}""str$id""""str$id"".format(driver = driver)        self.cursor.execute(query)",sql_injection,6
"            ssh_cmd = ""str$id"" % host",command_injection,5
"            if view == ""str$id"":                self.status_view_fs(fs)            elif view.startswith(""str$id""):                self.status_view_targets(fs)            elif view.startswith(""str$id""):                self.status_view_disks(fs)            else:                raise commandbadparametererror(self.view_support.get_view(),                        ""str$id"")",remote_code_execution,15
"            as row_num from people as t1 where name=""str$id""        ""str$id""'.format(name))",sql_injection,9
from twisted.web.resource import resource,xsrf,4
    def get_base_path(self):,path_disclosure,2
"        eq_(self.terminal.method_calls, [(""str$id"", (""str$id"",), {})])        eq_(self.terminal.method_calls, [(""str$id"", (""str$id"",), {})])",path_disclosure,8
"                        print ""str$id"",key                        print xss_request.text",xss,4
"    env={""str$id"": text_type(os.pathsep.join(python_setup.interpreter_search_paths))},",remote_code_execution,2
db = database(baseconfig.sqlalchemy_database_uri),sql_injection,3
"        ""str$id""""open an url in a mechanize browser, optionally passing the        specified data and files as post arguments.        browser (mechanize.browser): the browser to use.",xsrf,23
"                location = request.form.get(""str$id"", location)",open_redirect,4
"        winners = db.execute(""str$id"", (pollid, ))",sql_injection,5
"        self.asserttrue(""str$id"" in response[""str$id""])",open_redirect,3
"from twisted.application import service, strports",xsrf,5
  def handleget(self):  # pragma: no cover,xsrf,6
"def request_mock(path=""str$id"", method=""str$id"", body=""str$id"", headers={}):",xsrf,5
"    if isinstance(base, six.text_type):        base = base.encode(""str$id"")                if isinstance(id, six.text_type):                    id = id.encode(""str$id"")                paths.insert(idx + num%id, path + b""str$id"" + id)",path_disclosure,20
"    ""str$id"""" disconnect user from remote application.",xsrf,6
"        cr.execute(""str$id""""str$id""""str$id"" %(""str$id"".join(map(lambda x: ""str$id"" + str(x) + ""str$id"", j_ids))))        journal_ids = map(lambda x1: x1[num%id], cr.fetchall())",sql_injection,15
"        out = self._cli_run(""str$id"", none)",command_injection,4
import redis,open_redirect,2
"                        where action=""str$id""                        and user_id = {num%id} and project_id = {num%id};""str$id"""".format(user_id, self.id)        total_validation_time = db.engine.execute(query)",sql_injection,14
"         jc.pathcontainspredicate(""str$id"", self.__server_group_name),         jc.pathcontainspredicate(""str$id"", ""str$id"")]))",path_disclosure,4
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,18
"            p = subprocess.popen(""str$id"".format(self.remoteip), shell=true)",command_injection,4
"  def testvalidatetoken_expiration(self):    test_time = int(time.time())    token = xsrf.generatetoken(111l, ""str$id"", token_time=test_time)    xsrf.validatetoken(token, 111l, ""str$id"", now=test_time)    xsrf.validatetoken(token, 111l, ""str$id"", now=test_time + num%id)    xsrf.validatetoken(        token, 111l, ""str$id"", now=test_time + xsrf.token_timeout_sec)      xsrf.validatetoken, token, 11l, ""str$id"",      now=test_time + xsrf.token_timeout_sec + num%id)",xsrf,36
"        context[""str$id""] = markdown(self.object.content,                                 extensions=[                                     ""str$id"",                                     ""str$id"",                                     ""str$id"",                                 ])",xss,8
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,10
"    db.execute(""str$id"".format(        playlist_id=playlist_id))",sql_injection,2
"            self.cursor.execute(""str$id"" % language[num%id])    def add_translation(self, trid):            self.cursor.execute(""str$id"" % (trid[num%id], trid[num%id], trid[num%id]))                self.cursor.execute(""str$id"" % (item[num%id], trname[num%id], trname[num%id]))",sql_injection,16
"        t = (search, start, limit)        fetch_ok = self.execute(cmd + post + ""str$id"", t)",sql_injection,13
"                    h.populate_ancestors()        try:            for group in self.child_groups:                group.depth = max([self.depth + num%id, group.depth])                group._check_children_depth()        except runtimeerror:            raise ansibleerror(""str$id"" % self.name)",path_disclosure,19
"        request.session[""str$id""] = request.get.get(redirect_field_name)",open_redirect,3
"    runs a command in shell and provides stdout, stderr and stdin streams.    this function creates a context manager that sets up the process, returns    to caller, closes streams and waits for process to exit on leaving.    the process is opened in ``universal_newlines`` mode.    :param command: the command to run on shell.    :param kwargs:  additional keyword arguments to pass to ``subprocess.popen``                    that is used to spawn the process (except ``shell``,                    ``stdout``, ``stderr``, ``stdin`` and                    shell=true,",command_injection,74
"      ""str$id"": ""str$id"",  xsrf_token_enforce_on = ()  @auth.require_xsrf_token_request",xsrf,6
"        referer_header_value = ""str$id""+payload",xss,3
    c.execute(query),sql_injection,1
"  def get(self, suburl):    request = urllib2.request(self.url + suburl)  def post(self, suburl, data):    request = urllib2.request(self.url + suburl, urllib.urlencode(data))",xsrf,18
"		command = ""str$id"".format(table_name, cacheid, pth)		self._run_command(command)",sql_injection,6
"            ""str$id"")        client = pab_client.partnerandroidbuildclient()        url = client.getartifacturl(            ""str$id"")    @mock.patch(""str$id"")        client = pab_client.partnerandroidbuildclient()        client.authenticate()",xsrf,13
"    column_list = [""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id""]    form_excluded_columns = (""str$id"", ""str$id"", ""str$id"", ""str$id"", ""str$id"")",open_redirect,15
"        elif string == ""str$id"":            return ""str$id""",sql_injection,6
"        show_host_cmd = ""str$id""        create_host_cmd = (""str$id""                           ""str$id""openstack\""str$id""                           ""str$id"")        show_3par_cmd = ""str$id""",command_injection,11
"    query = ""str$id"" % (insert_table, svalues)",sql_injection,6
"            request.files[""str$id""].save(os.path.join(path, app.config[""str$id""]))                request.files[""str$id""].save(os.path.join(path, app.config[""str$id""]))                    copyfile(os.path.join(app.config[""str$id""], fn),                             os.path.join(path, app.config[""str$id""]))            link = ""str$id"" % url_for(""str$id"", sid=session_id)            success_txt = ""str$id"" % link            flash(markup(success_txt))            f = open(os.path.join(path, ""str$id""), ""str$id"")",command_injection,25
"        self.client.post(update_url, data)",open_redirect,2
"                    yield iofile(f, self.rule)",remote_code_execution,3
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)",xsrf,24
"    def __init__(self, sg, node, p=false):",path_disclosure,5
"        self._cli_run(""str$id"" % hostname, none)        out = self._cli_run(""str$id"" % (volume, hostname), none)",command_injection,11
"        return  current_user.is_authenticated and current_user.role.role_code in self.roles_allowed        ""str$id""",open_redirect,7
"        self.env.cr.execute(""str$id""""str$id""""str$id"" % (self._table,                    self._select(),                    self._from(),                    self._group_by()))",sql_injection,6
"          jc.pathcontainspredicate(""str$id"", load_balancer_name),          jc.pathcontainspredicate(""str$id"", target_pool_name)]))",path_disclosure,4
"        request.session[""str$id""] = request.get.get(redirect_field_name)",open_redirect,3
"                yield os.path.join(root, url[len(prefix):])",path_disclosure,3
                                                         stdin=stdin_input),command_injection,1
"          (            ""str$id"",            {""str$id"": {}, ""str$id"": {""str$id"": ""str$id""}},            {""str$id"": ""str$id""},          ),            {              ""str$id"": self.bot._attributes,              ""str$id"": {""str$id"": ""str$id""},            },",xsrf,17
"                            cls._key_for_tool_version(""str$id"", version),",remote_code_execution,2
"    cursor.execute(""str$id"", (game,))",sql_injection,2
"    cmd = ""str$id"".join([        ""str$id"",        ""str$id"",        ""str$id"",        ""str$id"".format(namespace),    ])    with host.sudo():        host.check_output(cmd)",command_injection,11
"        with host.sudo():            cmd_nslookup = (""str$id""                            ""str$id"".format(                                pod_name,                                hostname))            res = host.run(cmd_nslookup)            assert res.rc == num%id, ""str$id"".format(hostname)",command_injection,16
"    cursor.execute(""str$id"" % (winner, loser));",sql_injection,4
"            ""str$id"": self.request.get(""str$id""),",xss,2
"    sql = args.sql % tuple(sql_arguments)    print ""str$id"", sql    cursor.execute(sql)",sql_injection,9
"    url(r""str$id"", taskassets.as_view()),",path_disclosure,2
"        fields = (""str$id"", ""str$id"", ""str$id"")",command_injection,5
"    conn = connect()    c = conn.cursor()    c.execute(""str$id"".format(winner, loser))    conn.commit()    conn.close()",sql_injection,10
simulationmode = true,path_disclosure,3
"        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))",xsrf,3
"                (""str$id"", models.foreignkey(to=""str$id"", related_name=""str$id"")),",sql_injection,3
"                (""str$id"", models.onetoonefield(parent_link=true, auto_created=true, primary_key=true, serialize=false, to=""str$id"")),",sql_injection,6
"        self.url = ""str$id"" % (self.base_url, task[num%id])",xsrf,6
"from .common import get_and_check_project, get_tile_json",path_disclosure,5
"    def __init__(self, target_graph, *args, shacl_graph=none, options=none, **kwargs):",path_disclosure,7
"    def test_token_getter_setter(self, save_session):",xsrf,3
"        table_actions = (createkeypair, importkeypair, deletekeypairs,",xsrf,5
"        show_host_cmd = ""str$id""        create_host_cmd = (""str$id""openstack\""str$id""                           ""str$id"")",command_injection,7
"    req = ""str$id"".format(cfg(""str$id""), poll_name)    tmp = queryall(c, req)",sql_injection,8
pl=[],xss,1
"        def create_junk_table(self):        def destroy_junk_table(self):                query = ""str$id"" + email +""str$id""                self.cursor.execute(query)                query = ""str$id"" + reportid + ""str$id"" + userid + ""str$id"" + summary + ""str$id"" + description + ""str$id""                self.cursor.execute(query)                query1 = ""str$id"" + reportid +""str$id""                self.cursor.execute(query1)                query2 = ""str$id"" + str(intvote) + ""str$id"" + reportid                self.cursor.execute(query2)                query1 = ""str$id"" + reportid +""str$id""                self.cursor.execute(query1)                query = ""str$id"" + reportid                self.cursor.execute(query)                query = ""str$id"" + reportid                 self.cursor.execute(query)",sql_injection,67
"                        if power>num%id:                            print(""str$id"" % (power, i))                            with suppress_stdout():                                send(ip(src=target, dst=""str$id"" % i) / udp(dport=num%id)/raw(load=data), count=power)                        elif power==num%id:                            print(""str$id"" % i)                                send(ip(src=target, dst=""str$id"" % i) / udp(dport=num%id)/raw(load=data), count=power)                        if power>num%id:                            print(""str$id"" % (power, result[""str$id""]))                            with suppress_stdout():                                send(ip(src=target, dst=""str$id"" % result[""str$id""]) / udp(dport=num%id)/raw(load=data), count=power)                        elif power==num%id:                            print(""str$id"" % result[""str$id""])                                send(ip(src=target, dst=""str$id"" % result[""str$id""]) / udp(dport=num%id)/raw(load=data), count=power)",command_injection,54
"        return round(conf.seqmatcher.ratio(), num%id)    elif round(conf.seqmatcher.ratio(), num%id) >= match_ratio:",command_injection,8
"        mox.ignorearg(), mox.ignorearg(), timeout=mox.ignorearg()).andraise(    url_helper.urllib2.urlopen(mox.ignorearg(), mox.ignorearg(),",xsrf,5
"    ""str$id""""utility which allows to to quickly register a subscription adapters which returns new instantiated objects    of a given class",path_disclosure,19
import xsrf_client,xsrf,2
"            data = input(""str$id"") or ""str$id""",command_injection,5
"        query = ""str$id""+account_id+""str$id""+account_name+""str$id""+str(amount)+""str$id""+voting_account+""str$id""        cur.execute(query)",sql_injection,4
"            sql = ""str$id""\                    .format(str(scene), str(player), int(rank), str(points), str(recent_date))            self.db.exec(sql)            sql = ""str$id"".format(player)            res = self.db.exec(sql)",sql_injection,15
"  def xsrf_is_valid(self, _body):    return true",xsrf,5
"import urllibfrom google.appengine.ext import dbfrom google.appengine.api import usersfrom model import authorization, apikeymanagementlogimport utilsfrom django.utils.html import escapefrom django.utils.translation import ugettext as _api_key_length = 16keys_per_page = 50authorization_params_list = [    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",    ""str$id"",]def to_authorization_params(param):    ret = {}    for param_name in authorization_params_list:        ret[param_name] = getattr(param, param_name)    return retclass listapikeys(utils.basehandler):    ""str$id""""str$id""""str$id""    https_required = true    ignore_deactivation = true    repo_required = false    admin_required = true    @utils.require_api_key_management_permission    def get(self):        user = users.get_current_user()        q = authorization.all().filter(""str$id"", self.repo or ""str$id"")        authorizations = q.fetch(keys_per_page)        nav_html = (""str$id""                    % (self.get_url(""str$id""),                       escape(_(""str$id""))))        user_email_with_tags = (""str$id""                % escape(user.email()))        xsrf_tool = utils.xsrftool()        return self.render(""str$id"",                           nav_html=nav_html,                           admin_api_keys_url=self.get_url(""str$id""),                           user=user, authorizations=authorizations,                           user_email_with_tags=user_email_with_tags,                           xsrf_token=xsrf_tool.generate_token(                               user.user_id(), ""str$id""))class createorupdateapikey(utils.basehandler):    ""str$id""""str$id""""str$id""    https_required = true    ignore_deactivation = true    repo_required = false    admin_required = true    def render_form(self, authorization=none, message=""str$id""):        ""str$id""""str$id""""str$id""        user = users.get_current_user()        if authorization:            operation_name = _(""str$id"")            nav_html = (""str$id""                        % (self.get_url(""str$id""),                           escape(_(""str$id""))))        else:            authorization = authorization.default_settings            operation_name = _(""str$id"")            nav_html = ""str$id""        nav_html += (""str$id""                     % (self.get_url(""str$id""),                        escape(_(""str$id""))))        user_email_with_tags = (""str$id""                % escape(user.email()))        xsrf_tool = utils.xsrftool()        return self.render(            ""str$id"",            user=user, target_key=authorization,            user_email_with_tags=user_email_with_tags,            login_url=users.create_login_url(self.request.url),            logout_url=users.create_logout_url(self.request.url),            operation_name=operation_name, message=message,            nav_html=nav_html,            xsrf_token=xsrf_tool.generate_token(                user.user_id(), ""str$id""),        )    @utils.require_api_key_management_permission    def get(self):        ""str$id""""str$id""""str$id""        management_log_key = self.request.get(""str$id"")        if management_log_key:            management_log = db.get(management_log_key)            message = ""str$id""            if management_log.action == apikeymanagementlog.create:                message = _(""str$id"")            elif management_log.action == apikeymanagementlog.update:                message = _(""str$id"")            return self.render_form(management_log.authorization, message)        else:            return self.render_form()    @utils.require_api_key_management_permission    def post(self):        ""str$id""""str$id""""str$id""        user = users.get_current_user()        xsrf_tool = utils.xsrftool()        if not (self.params.xsrf_token and xsrf_tool.verify_token(                self.params.xsrf_token, user.user_id(), ""str$id"")):            return self.error(num%id)        if self.request.get(""str$id""):            authorization = db.get(self.request.get(""str$id""))            if not authorization:                return self.error(num%id, _(""str$id""))            return self.render_form(authorization)        if not (self.params.contact_name and                self.params.contact_email and                self.params.organization_name):            return self.error(num%id, _(""str$id""))        original_key = self.request.get(""str$id"")        if original_key:            existing_authorization = db.get(original_key)            if not existing_authorization:                return self.error(num%id, _(""str$id""))            key_str = existing_authorization.api_key            action = apikeymanagementlog.update        else:            key_str = utils.generate_random_key(api_key_length)            action = apikeymanagementlog.create        repo = self.repo or ""str$id""        authorization = authorization.create(            repo, key_str,            **to_authorization_params(self.params))        authorization.put()        management_log = apikeymanagementlog(repo=repo,                                             api_key=authorization.api_key,                                             action=action)        management_log.put()        self.redirect(""str$id""                      % (self.repo, management_log.key()))",xsrf,305
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url)",xsrf,8
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,18
token_granularity_minutes = num%id * framework_constants.secs_per_minute,xsrf,5
            group_exam_ind=num%id,open_redirect,1
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.get(url, content_type=""str$id"")",xsrf,9
"         jc.pathcontainspredicate(""str$id"", self.__server_group_name),         jc.pathcontainspredicate(""str$id"", ""str$id"")]))",path_disclosure,4
"    runs a command in shell and provides stdout, stderr and stdin streams.    this function creates a context manager that sets up the process, returns    to caller, closes streams and waits for process to exit on leaving.    the process is opened in `universal_newlines` mode.    :param command: the command to run on shell.                    that is used to spawn the process (except `shell`,                    `stdout`, `stderr`, `stdin` and `universal_newlines`, a                    `typeerror` is raised then).                    shell=true,",command_injection,71
"                        opener.addheaders = [(""str$id"", ""str$id""), (""str$id"", ""str$id""), (""str$id"", ""str$id""), (""str$id"", ""str$id""), (""str$id"", ""str$id""), (""str$id"", ""str$id""), (""str$id"", ""str$id"")]",xsrf,16
simulationmode = true,path_disclosure,3
"        result = self.common._cli_run(""str$id"", none)",command_injection,4
"			(r""str$id"",postloginhandler)		ui_modules={""str$id"": bootstrapmodule},",open_redirect,3
"        ""str$id"": response.json_body.get(""str$id"")",xsrf,2
            self._check_xsrf_cookie(),xsrf,1
"    native = {""str$id"": ""str$id""}",remote_code_execution,4
"        self.asserttrue(            self.client.login(username=""str$id"", password=""str$id""))",xsrf,3
"        keypath = kwargs.get(""str$id"", []) + list(keysorvalues[:-num%id])   # last element of ""str$id"" is the value        ob = self._findvalueforpath(*keypath)        return self._findvalueforpath(keypath)",path_disclosure,19
"                ssh_cmd = ssh_cmd.replace(""str$id"",                                          ""str$id"")",command_injection,4
"    nglib.query.path.get_switched_path(args.spath, args.search, rtype=rtype)    nglib.query.path.get_routed_path(args.rpath, args.search, rtype=rtype)    nglib.query.path.get_full_path(args.path, args.search, rtype=rtype)",path_disclosure,9
"from .common import get_and_check_project, get_tile_json",path_disclosure,5
"        self._session.cookies.clear()        self._session.cookies.save()        self._session.get(url, headers=headers)        if response.status_code == requests.codes.found:  # @undefinedvariable",xsrf,10
import tempfileimport urllib2,remote_code_execution,3
"from django.http import httpresponse, httpresponseredirect",open_redirect,5
"                               help=""str$id"")",command_injection,1
"        tp.push(parent, ""str$id"", rel_op)        tp1 = tp.clone()        self.assert_equal(len(tp1), num%id)",path_disclosure,8
"  version = os.environ[""str$id""]      str(version),",xsrf,4
        if user.is_authenticated():,sql_injection,2
"        response = self.client.post(url)        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,18
"    shortest_set = []  # found shortest set from start to node, key is ""str$id"", value is list of nodes                start = time.time()",path_disclosure,22
"        ""str$id""""str$id""""str$id""        path = self.path        for x in self.cgi_directories:            i = len(x)            if path[:i] == x and (not path[i:] or path[i] == ""str$id""):                self.cgi_info = path[:i], path[i+num%id:]                return true",path_disclosure,28
"        ""str$id""""open an url in a mechanize browser, optionally passing the        specified data and files as post arguments.        browser (mechanize.browser): the browser to use.",xsrf,23
"    return subprocess.call([""str$id"", ""str$id"", ""str$id""+program], shell=false, stdout=open(os.devnull), stderr=open(os.devnull))==num%id",open_redirect,7
"        response = self.client.post(url, json.dumps(body), content_type=""str$id"")",xsrf,5
import urllib.parse,path_disclosure,2
import xsrf_client,xsrf,2
        if not (self.params.contact_name and ,xsrf,4
"        self._cli_run(""str$id"" % hostname, none)        out = self._cli_run(""str$id"" % (volume, hostname), none)",command_injection,11
"            ""str$id"": true",xsrf,2
"    name = bleach.clean(name)    conn = connect()    c = conn.cursor()    c.execute(""str$id"",(name,))    conn.commit()    conn.close()",sql_injection,12
from cookielib import mozillacookiejar,xsrf,4
"        self.filter_string = ""str$id"".format(self.name, value)",sql_injection,4
"        ""str$id""""str$id""""str$id""        path = self.path        for x in self.cgi_directories:            i = len(x)            if path[:i] == x and (not path[i:] or path[i] == ""str$id""):                self.cgi_info = path[:i], path[i+num%id:]                return true",path_disclosure,28
"        query = db.query(""str$id"" % page_name)",sql_injection,5
"            query += ""str$id""""str$id""\""str$id""""str$id""\""str$id""            query += ""str$id""""str$id""\""str$id""            query += ""str$id""""str$id""\""str$id""            query += ""str$id""%""str$id""%\""str$id""    # use lower() to ignore case             query += ""str$id"" + key + ""str$id"" + key + ""str$id""            query += ""str$id""%""str$id""%\""str$id""%""str$id""""str$id""%\""str$id""",sql_injection,32
"			command = ""str$id"".format(table_name,																			pth,																			utils.sqliteutils.escapetext(metadata),																			mod_time																			)			self._run_command(command)",sql_injection,8
        self.p = p        return bool(self.p),path_disclosure,5
"    record_log_files_in_redis(        redis_address,        node_ip_address, [stdout_file, stderr_file],        password=redis_password)",open_redirect,6
"            ssh_cmd = ""str$id"" % host",command_injection,5
